customer_id,age,income,tenure_years,monthly_spend,support_calls,satisfaction_score,login_frequency,contract_months,city,plan,payment_method,churn
CUST100827,27.0,36886.37,2.0,77.95,2.0,6.53,11.81,36.0,Pune,Standard,Wallet,0
CUST100142,44.0,32467.15,0.0,62.01,3.0,4.88,16.52,12.0,Delhi,Premium,UPI,1
CUST100953,43.0,119362.63,7.0,59.47,2.0,8.74,27.28,6.0,Pune,Premium,NetBanking,0
CUST100465,29.0,47477.54,1.0,90.63,2.0,4.38,20.87,6.0,Jaipur,Standard,UPI,0
CUST100722,45.0,47987.54,5.0,85.21,0.0,10.0,28.24,24.0,Delhi,Standard,Wallet,0
CUST100721,30.0,36609.27,2.0,102.08,3.0,6.08,18.34,24.0,Jaipur,Basic,UPI,0
CUST101151,64.0,53727.47,9.0,66.76,2.0,4.79,19.13,24.0,Hyderabad,Standard,Card,0
CUST101007,31.0,77360.86,5.0,87.16,2.0,7.9,13.17,1.0,Jaipur,Basic,UPI,0
CUST101179,57.0,94988.38,12.0,93.35,2.0,10.0,17.66,6.0,Delhi,Basic,NetBanking,0
CUST100599,40.0,41903.97,7.0,117.31,3.0,7.29,21.33,12.0,Delhi,Standard,Card,0
CUST100808,55.0,86375.69,10.0,43.2,2.0,9.05,21.11,12.0,Hyderabad,Basic,NetBanking,0
CUST100068,35.0,37042.51,9.0,48.25,2.0,9.56,15.82,6.0,Jaipur,Standard,Card,0
CUST100900,31.0,42096.04,12.0,41.97,1.0,6.96,15.47,24.0,Delhi,Basic,NetBanking,0
CUST100298,46.0,113808.19,12.0,116.26,2.0,3.22,20.79,12.0,Hyderabad,Standard,Card,1
CUST101280,20.0,47509.03,1.0,92.18,2.0,9.69,14.38,12.0,Pune,Premium,UPI,0
CUST100272,29.0,39066.53,5.0,62.01,3.0,7.4,9.0,24.0,Bengaluru,Standard,Card,0
CUST101085,64.0,36058.89,10.0,83.17,2.0,5.29,20.83,12.0,Pune,Standard,Card,1
CUST100052,64.0,71960.76,2.0,70.89,0.0,6.22,27.67,12.0,Jaipur,Basic,Card,1
CUST100427,21.0,76534.61,1.0,57.62,2.0,6.0,25.9,6.0,Hyderabad,Premium,Card,0
CUST100429,62.0,74252.72,14.0,56.84,2.0,5.96,18.26,36.0,Pune,Premium,Card,0
CUST100241,37.0,72041.04,1.0,91.01,1.0,7.05,15.95,12.0,Bengaluru,Standard,NetBanking,1
CUST100528,48.0,44737.08,8.0,107.97,0.0,6.4,11.93,1.0,Delhi,Basic,Card,0
CUST100417,23.0,44975.47,5.0,59.48,1.0,7.91,29.91,1.0,Delhi,Standard,UPI,0
CUST100702,55.0,45696.03,11.0,51.67,1.0,8.15,15.68,12.0,Delhi,Standard,Wallet,0
CUST100675,62.0,61411.16,2.0,35.36,3.0,7.39,21.55,12.0,Jaipur,Basic,NetBanking,0
CUST100907,20.0,64168.26,7.0,170.88,3.0,7.58,19.96,6.0,Bengaluru,Standard,Card,0
CUST101058,52.0,38286.12,10.0,75.58,3.0,6.31,23.81,1.0,Delhi,Standard,Card,0
CUST101287,50.0,58531.65,15.0,94.86,3.0,8.19,30.79,36.0,Pune,Basic,UPI,1
CUST100050,37.0,40878.21,0.0,118.64,1.0,8.83,10.07,36.0,Delhi,Standard,NetBanking,0
CUST100071,51.0,53317.95,1.0,76.05,2.0,6.79,22.94,24.0,Bengaluru,Standard,UPI,0
CUST100498,18.0,55702.47,3.0,62.06,1.0,8.09,14.61,24.0,Bengaluru,Premium,UPI,0
CUST100414,39.0,74722.85,10.0,55.63,2.0,6.81,9.81,24.0,Jaipur,Standard,NetBanking,0
CUST100351,58.0,56041.54,13.0,34.36,3.0,8.57,16.85,36.0,Jaipur,Basic,UPI,1
CUST101281,41.0,80175.0,15.0,146.09,2.0,8.08,25.92,24.0,Hyderabad,Standard,Wallet,0
CUST101301,54.0,37365.34,13.0,98.05,2.0,6.12,26.21,12.0,Hyderabad,Basic,UPI,0
CUST100821,47.0,43967.85,15.0,57.66,1.0,8.04,12.67,36.0,Jaipur,Standard,UPI,1
CUST100501,21.0,65053.48,0.0,132.33,0.0,5.52,14.53,36.0,Pune,Basic,NetBanking,0
CUST100125,52.0,44934.66,2.0,145.39,2.0,9.04,19.3,6.0,Delhi,Basic,NetBanking,1
CUST100773,31.0,51390.7,11.0,70.41,2.0,7.35,8.63,12.0,Mumbai,Basic,Card,0
CUST100757,23.0,56520.71,8.0,21.07,1.0,6.42,13.05,24.0,Jaipur,Standard,UPI,0
CUST100366,59.0,85461.68,1.0,130.21,1.0,7.25,17.37,12.0,Pune,Premium,UPI,1
CUST100931,37.0,147986.37,15.0,86.8,3.0,6.35,21.47,24.0,Delhi,Basic,UPI,0
CUST101205,28.0,48508.27,5.0,117.22,3.0,4.62,17.2,24.0,Jaipur,Basic,Wallet,0
CUST100077,32.0,56140.06,12.0,30.49,2.0,7.61,15.96,12.0,Bengaluru,Basic,NetBanking,0
CUST101049,57.0,42553.73,13.0,83.48,3.0,4.81,29.51,36.0,Jaipur,Standard,UPI,1
CUST101384,39.0,59773.19,1.0,48.29,2.0,9.44,21.57,6.0,Mumbai,Premium,UPI,0
CUST101178,31.0,68566.66,7.0,151.57,4.0,8.16,17.01,24.0,Delhi,Standard,UPI,0
CUST100248,49.0,39827.34,14.0,83.96,4.0,7.9,11.86,24.0,Pune,Premium,NetBanking,0
CUST100491,22.0,59999.25,12.0,93.81,1.0,6.83,19.85,36.0,Mumbai,Standard,Card,0
CUST100276,26.0,22847.69,10.0,51.28,5.0,6.73,10.22,6.0,Mumbai,Basic,NetBanking,0
CUST101104,53.0,59004.74,12.0,50.44,1.0,9.48,21.44,12.0,Hyderabad,Basic,Card,0
CUST100124,54.0,50982.53,2.0,218.28,4.0,6.87,18.72,1.0,Delhi,Standard,UPI,0
CUST100030,44.0,27737.16,10.0,110.32,0.0,7.25,17.75,1.0,Delhi,Basic,UPI,1
CUST100245,20.0,96368.59,5.0,25.82,2.0,10.0,23.82,24.0,Hyderabad,Standard,UPI,0
CUST101080,32.0,60406.28,9.0,128.39,3.0,6.92,22.38,12.0,Pune,Standard,Wallet,0
CUST100169,62.0,63761.92,6.0,73.88,0.0,6.2,15.23,6.0,Mumbai,Basic,Card,1
CUST100066,21.0,40758.36,7.0,78.6,2.0,6.21,11.52,24.0,Delhi,Standard,Card,1
CUST100421,50.0,30478.0,1.0,129.52,6.0,5.45,18.99,24.0,Hyderabad,Basic,UPI,1
CUST100572,47.0,45218.79,8.0,85.03,4.0,8.31,11.32,36.0,Pune,Standard,UPI,0
CUST101047,52.0,78771.21,0.0,54.23,4.0,7.68,13.39,6.0,Pune,Standard,UPI,0
CUST101315,36.0,27694.0,7.0,40.4,6.0,5.84,8.93,12.0,Hyderabad,Standard,Wallet,1
CUST101282,40.0,99030.37,6.0,81.06,3.0,6.92,25.87,24.0,Mumbai,Premium,UPI,0
CUST101160,42.0,74501.09,3.0,199.99,1.0,9.14,11.24,6.0,Mumbai,Standard,NetBanking,1
CUST101037,47.0,48027.24,6.0,30.86,3.0,5.43,17.03,1.0,Bengaluru,Standard,Wallet,0
CUST100799,64.0,49444.17,11.0,62.21,0.0,7.3,20.63,12.0,Bengaluru,Standard,Card,0
CUST100701,25.0,46064.45,14.0,78.95,4.0,10.0,2.38,1.0,Bengaluru,Premium,Card,0
CUST100813,42.0,54664.36,1.0,75.63,2.0,6.07,27.18,24.0,Delhi,Premium,Card,0
CUST100495,27.0,22422.49,6.0,76.43,6.0,7.14,24.17,12.0,Jaipur,Premium,NetBanking,0
CUST100494,48.0,103364.92,15.0,142.82,1.0,4.34,5.72,36.0,Mumbai,Basic,UPI,1
CUST100980,37.0,26858.22,9.0,86.91,0.0,9.11,17.11,36.0,Delhi,Standard,Card,0
CUST101125,32.0,73062.02,8.0,151.63,1.0,6.24,12.75,36.0,Delhi,Standard,NetBanking,0
CUST101038,48.0,47680.75,3.0,80.47,4.0,7.5,23.71,12.0,Jaipur,Standard,UPI,1
CUST100619,34.0,54331.92,12.0,74.3,1.0,7.89,13.07,1.0,Delhi,Basic,Wallet,0
CUST100661,25.0,106963.78,12.0,35.38,2.0,6.14,22.59,24.0,Bengaluru,Basic,Wallet,0
CUST100971,20.0,76296.5,2.0,102.6,5.0,7.21,26.08,24.0,Mumbai,Standard,Card,0
CUST100045,42.0,70860.89,15.0,97.17,2.0,6.14,1.69,24.0,Delhi,Standard,NetBanking,0
CUST100060,53.0,67942.55,1.0,95.48,0.0,7.09,20.82,24.0,Mumbai,Basic,UPI,0
CUST100963,42.0,47006.7,9.0,151.87,7.0,7.96,22.48,12.0,Bengaluru,Standard,Card,0
CUST101231,58.0,33180.29,14.0,128.83,1.0,6.12,11.81,1.0,Hyderabad,Basic,NetBanking,1
CUST100024,38.0,18917.85,6.0,79.64,5.0,6.2,24.69,24.0,Bengaluru,Basic,Card,1
CUST100611,60.0,38407.45,12.0,79.03,3.0,6.47,11.71,24.0,Jaipur,Premium,Card,0
CUST101317,46.0,48906.17,4.0,56.02,4.0,7.41,19.97,1.0,Jaipur,Premium,Wallet,1
CUST100333,47.0,95370.45,8.0,77.24,2.0,8.04,29.72,24.0,Bengaluru,Basic,Card,1
CUST100922,56.0,47990.31,15.0,85.5,3.0,5.49,19.91,36.0,Pune,Standard,UPI,1
CUST101351,26.0,80008.9,3.0,178.94,2.0,9.54,22.05,36.0,Hyderabad,Premium,Card,0
CUST101311,40.0,37251.54,10.0,51.03,2.0,7.96,19.3,6.0,Jaipur,Standard,UPI,0
CUST100889,53.0,131904.45,13.0,30.65,3.0,8.27,23.09,12.0,Pune,Standard,UPI,0
CUST100807,42.0,37643.27,7.0,63.33,3.0,6.84,19.05,36.0,Jaipur,Basic,NetBanking,0
CUST100998,21.0,42330.43,2.0,93.36,2.0,4.85,7.82,6.0,Hyderabad,Standard,UPI,0
CUST100116,26.0,41914.51,6.0,48.65,4.0,8.35,9.38,1.0,Hyderabad,Basic,NetBanking,0
CUST101095,25.0,54004.96,3.0,97.69,4.0,9.32,17.26,6.0,Hyderabad,Basic,UPI,0
CUST101114,27.0,44566.74,14.0,93.81,1.0,7.21,15.55,36.0,Mumbai,Basic,Card,1
CUST100440,34.0,81286.47,12.0,78.26,4.0,7.0,14.66,6.0,Hyderabad,Standard,UPI,0
CUST100711,45.0,54507.82,5.0,72.26,2.0,7.86,18.45,12.0,Bengaluru,Premium,NetBanking,0
CUST100238,33.0,46497.98,3.0,59.64,1.0,9.79,22.72,1.0,Bengaluru,Standard,UPI,0
CUST100221,23.0,29694.71,5.0,103.68,3.0,6.55,16.72,24.0,Mumbai,Premium,UPI,0
CUST101055,54.0,48141.45,0.0,63.54,2.0,6.6,14.52,24.0,Hyderabad,Standard,Card,0
CUST101173,59.0,76137.92,6.0,140.26,2.0,5.6,13.56,1.0,Pune,Basic,NetBanking,0
CUST100793,61.0,86726.87,9.0,30.97,2.0,9.91,16.25,36.0,Mumbai,Premium,NetBanking,0
CUST101256,19.0,82590.9,6.0,77.85,0.0,7.46,17.5,24.0,Delhi,Basic,Card,0
CUST100079,31.0,82740.22,5.0,70.88,3.0,6.42,19.52,12.0,Bengaluru,Premium,UPI,0
CUST100768,27.0,44136.69,0.0,75.57,1.0,8.31,20.36,24.0,Delhi,Standard,UPI,1
CUST101395,27.0,37986.81,12.0,91.46,4.0,5.47,17.91,36.0,Jaipur,Premium,Card,0
CUST100262,47.0,62260.01,12.0,79.37,1.0,6.87,22.61,6.0,Hyderabad,Standard,UPI,0
CUST100938,42.0,36916.96,10.0,89.57,3.0,8.51,18.95,24.0,Pune,Basic,Card,0
CUST100016,20.0,63456.2,15.0,75.83,3.0,4.07,13.88,36.0,Delhi,Standard,UPI,0
CUST100846,28.0,84598.69,12.0,51.77,7.0,5.53,10.69,12.0,Hyderabad,Basic,UPI,0
CUST101142,22.0,53799.71,13.0,52.8,3.0,8.32,24.33,24.0,Delhi,Basic,NetBanking,0
CUST100614,64.0,55869.41,12.0,153.84,3.0,8.87,8.14,12.0,Delhi,Standard,UPI,0
CUST101445,42.0,37349.79,14.0,46.47,5.0,5.23,17.62,36.0,Pune,Premium,Card,1
CUST101393,62.0,49871.01,14.0,105.07,3.0,5.41,12.54,12.0,Mumbai,Basic,Card,1
CUST100275,49.0,42150.51,4.0,50.5,2.0,8.79,11.28,12.0,Bengaluru,Premium,NetBanking,0
CUST100530,19.0,96807.99,5.0,64.78,3.0,6.62,24.36,36.0,Jaipur,Basic,Card,0
CUST100483,38.0,48253.6,8.0,128.72,3.0,6.02,19.22,6.0,Mumbai,Premium,Card,0
CUST100644,53.0,70428.42,12.0,124.58,2.0,6.49,26.83,12.0,Delhi,Standard,UPI,1
CUST100966,28.0,73176.65,15.0,30.72,3.0,5.91,9.85,24.0,Pune,Basic,UPI,0
CUST100627,44.0,56023.84,12.0,122.09,0.0,7.57,13.71,36.0,Bengaluru,Basic,NetBanking,0
CUST100185,58.0,44493.12,8.0,105.41,0.0,9.13,8.75,12.0,Jaipur,Basic,Card,1
CUST100204,19.0,54406.63,8.0,50.53,0.0,4.07,15.37,12.0,Mumbai,Standard,NetBanking,0
CUST100977,48.0,79066.33,2.0,96.7,1.0,7.62,17.71,12.0,Jaipur,Standard,UPI,1
CUST101075,31.0,60933.14,0.0,96.7,1.0,8.52,21.85,24.0,Pune,Standard,Card,0
CUST101455,36.0,82440.68,11.0,153.56,4.0,7.95,12.81,1.0,Pune,Standard,UPI,1
CUST101380,55.0,53903.16,0.0,151.89,1.0,6.4,16.97,1.0,Jaipur,Standard,Card,1
CUST100932,42.0,69877.71,12.0,75.26,5.0,7.21,11.19,24.0,Mumbai,Standard,UPI,1
CUST100482,65.0,166819.68,6.0,51.26,1.0,6.86,22.09,24.0,Pune,Standard,UPI,0
CUST100345,45.0,22165.41,3.0,50.72,2.0,8.39,21.15,12.0,Bengaluru,Premium,NetBanking,0
CUST100232,28.0,77710.39,10.0,99.67,5.0,5.47,20.61,12.0,Jaipur,Basic,Wallet,0
CUST101340,61.0,45065.05,2.0,50.8,2.0,6.39,30.57,12.0,Bengaluru,Basic,Wallet,1
CUST100986,47.0,16830.43,2.0,93.25,3.0,5.79,17.04,36.0,Bengaluru,Premium,Card,1
CUST100589,48.0,79150.52,10.0,89.22,2.0,9.92,12.23,24.0,Mumbai,Standard,NetBanking,0
CUST100044,21.0,48595.33,11.0,61.47,7.0,5.88,25.41,12.0,Jaipur,Basic,NetBanking,0
CUST100423,61.0,34083.13,10.0,82.37,5.0,8.81,20.63,6.0,Hyderabad,Basic,UPI,0
CUST100608,52.0,94148.43,5.0,50.12,3.0,7.39,10.09,6.0,Bengaluru,Basic,UPI,0
CUST100869,22.0,43876.85,9.0,90.86,3.0,6.19,19.24,12.0,Delhi,Basic,UPI,0
CUST101206,55.0,87339.27,1.0,114.49,1.0,5.79,22.68,24.0,Hyderabad,Standard,UPI,0
CUST100102,25.0,23469.17,9.0,102.81,3.0,9.34,15.89,12.0,Bengaluru,Basic,Wallet,0
CUST100108,52.0,47411.82,6.0,76.59,3.0,8.55,24.62,12.0,Bengaluru,Premium,UPI,0
CUST101074,57.0,58298.03,4.0,97.27,4.0,9.02,15.79,12.0,Mumbai,Basic,NetBanking,0
CUST101059,38.0,61892.33,14.0,157.44,1.0,7.48,14.81,12.0,Bengaluru,Basic,UPI,0
CUST100584,29.0,52187.21,14.0,100.99,0.0,8.27,20.2,36.0,Jaipur,Basic,NetBanking,0
CUST100911,60.0,80963.54,12.0,86.9,1.0,5.8,26.85,36.0,Mumbai,Standard,Card,1
CUST101266,49.0,25124.71,1.0,79.38,2.0,7.55,23.37,24.0,Mumbai,Standard,Card,1
CUST100746,42.0,69774.61,11.0,71.54,1.0,8.07,20.7,24.0,Delhi,Basic,UPI,0
CUST100987,55.0,84820.24,6.0,82.16,2.0,7.49,30.92,12.0,Mumbai,Basic,UPI,0
CUST101176,26.0,67651.19,13.0,76.91,2.0,6.64,9.83,1.0,Delhi,Basic,UPI,0
CUST100129,44.0,74631.89,7.0,63.83,1.0,5.26,12.51,1.0,Pune,Basic,UPI,1
CUST100706,25.0,89230.65,12.0,113.26,2.0,7.21,21.16,1.0,Bengaluru,Basic,Card,0
CUST100278,52.0,66566.16,5.0,51.3,3.0,5.75,14.23,24.0,Delhi,Standard,Card,0
CUST101440,42.0,33366.08,0.0,176.41,2.0,8.75,18.29,12.0,Pune,Standard,NetBanking,0
CUST101171,54.0,33492.01,11.0,171.85,5.0,5.72,23.19,1.0,Bengaluru,Premium,UPI,1
CUST101210,44.0,62381.1,11.0,74.0,2.0,6.18,22.49,24.0,Delhi,Basic,UPI,0
CUST101033,32.0,79152.52,5.0,55.59,3.0,6.62,12.65,1.0,Pune,Premium,UPI,0
CUST100775,63.0,64419.29,10.0,60.86,5.0,4.95,29.15,24.0,Jaipur,Basic,Card,1
CUST101261,18.0,40899.18,7.0,58.11,3.0,6.85,18.33,12.0,Delhi,Standard,UPI,0
CUST100033,33.0,120218.56,8.0,117.92,3.0,5.98,11.29,24.0,Bengaluru,Premium,UPI,0
CUST101484,49.0,46435.01,6.0,74.87,5.0,10.0,12.07,6.0,Bengaluru,Premium,Card,0
CUST100597,38.0,86679.83,2.0,60.77,4.0,7.83,16.42,36.0,Bengaluru,Standard,UPI,0
CUST100848,25.0,24134.86,11.0,97.97,4.0,8.6,30.31,36.0,Pune,Basic,Wallet,0
CUST101461,29.0,51013.74,7.0,65.52,1.0,6.47,23.2,6.0,Mumbai,Standard,UPI,0
CUST101410,57.0,97386.6,6.0,111.31,1.0,6.85,24.88,36.0,Hyderabad,Standard,Card,0
CUST101369,23.0,40157.35,0.0,112.66,1.0,7.39,17.98,1.0,Bengaluru,Premium,UPI,0
CUST101005,18.0,48194.3,9.0,117.67,3.0,6.0,16.69,36.0,Pune,Basic,Wallet,0
CUST100340,36.0,36697.57,0.0,136.52,1.0,4.56,19.61,12.0,Bengaluru,Standard,Wallet,1
CUST101320,18.0,30914.1,11.0,50.48,2.0,8.8,16.05,1.0,Hyderabad,Basic,UPI,0
CUST101429,62.0,38303.67,14.0,100.52,3.0,8.96,25.29,24.0,Pune,Basic,NetBanking,0
CUST101011,53.0,71376.12,15.0,95.71,3.0,7.69,23.24,6.0,Hyderabad,Standard,UPI,1
CUST100164,24.0,92471.1,3.0,40.35,2.0,7.66,9.65,12.0,Mumbai,Basic,NetBanking,0
CUST100899,40.0,49720.55,14.0,111.29,5.0,6.35,23.89,36.0,Hyderabad,Premium,UPI,1
CUST100290,55.0,89799.53,0.0,115.88,1.0,8.76,24.69,6.0,Pune,Standard,UPI,0
CUST100412,39.0,82175.06,12.0,58.0,5.0,7.57,16.6,6.0,Pune,Standard,NetBanking,1
CUST101296,49.0,41331.51,2.0,143.43,1.0,6.89,20.71,6.0,Hyderabad,Standard,UPI,0
CUST100975,53.0,82716.5,12.0,73.81,2.0,5.0,19.24,36.0,Delhi,Standard,UPI,1
CUST100990,28.0,62631.15,13.0,34.14,2.0,7.59,18.88,12.0,Jaipur,Standard,UPI,0
CUST100430,49.0,27386.33,5.0,48.63,2.0,5.67,22.28,12.0,Bengaluru,Basic,UPI,1
CUST101198,26.0,78582.81,15.0,48.03,3.0,10.0,14.72,12.0,Mumbai,Basic,Card,0
CUST100317,34.0,65063.35,8.0,134.74,2.0,7.55,11.92,6.0,Delhi,Standard,NetBanking,0
CUST100193,50.0,27581.53,1.0,66.11,4.0,9.12,19.08,1.0,Hyderabad,Standard,UPI,1
CUST100683,52.0,74910.04,13.0,97.17,3.0,6.47,11.57,12.0,Pune,Basic,Card,0
CUST100527,29.0,76243.2,13.0,40.31,1.0,4.22,1.79,24.0,Hyderabad,Basic,NetBanking,1
CUST100064,23.0,228754.74,3.0,116.69,5.0,6.24,11.04,24.0,Bengaluru,Basic,NetBanking,0
CUST100694,33.0,12171.64,5.0,28.13,1.0,7.86,25.42,24.0,Delhi,Basic,NetBanking,0
CUST100240,20.0,115072.19,14.0,97.08,3.0,6.01,19.4,36.0,Pune,Basic,UPI,0
CUST100909,40.0,74804.01,0.0,110.55,3.0,6.59,16.01,12.0,Delhi,Standard,Card,1
CUST100507,49.0,45240.09,0.0,150.13,2.0,7.44,10.93,6.0,Pune,Standard,UPI,0
CUST100260,40.0,123885.39,11.0,88.29,3.0,9.93,13.99,36.0,Pune,Standard,Card,0
CUST100529,63.0,26100.08,14.0,68.19,1.0,6.76,32.53,36.0,Hyderabad,Basic,Card,1
CUST100479,33.0,66597.28,10.0,168.44,2.0,7.21,16.96,36.0,Jaipur,Standard,UPI,0
CUST101098,64.0,53755.69,15.0,65.72,2.0,6.3,23.05,6.0,Delhi,Standard,UPI,1
CUST100199,49.0,56520.71,8.0,95.79,3.0,4.93,7.24,24.0,Delhi,Premium,Card,0
CUST100715,53.0,35190.6,12.0,69.89,4.0,8.91,20.55,6.0,Bengaluru,Standard,UPI,0
CUST100868,18.0,38852.28,3.0,61.47,0.0,4.97,31.89,6.0,Pune,Standard,Card,0
CUST100778,30.0,46419.6,8.0,48.12,3.0,8.69,23.84,6.0,Jaipur,Basic,NetBanking,0
CUST101014,20.0,80102.38,1.0,50.56,1.0,10.0,17.43,12.0,Jaipur,Standard,Card,0
CUST100219,43.0,37630.51,7.0,57.63,1.0,6.88,18.28,36.0,Jaipur,Premium,NetBanking,0
CUST100810,55.0,60819.67,7.0,72.72,5.0,6.86,16.64,12.0,Hyderabad,Standard,UPI,0
CUST100031,59.0,48788.29,8.0,81.82,3.0,7.68,15.99,24.0,Bengaluru,Standard,NetBanking,0
CUST100057,52.0,31349.69,15.0,56.63,0.0,6.75,13.54,36.0,Delhi,Basic,Card,1
CUST101221,50.0,66600.98,7.0,70.78,3.0,6.27,19.47,24.0,Hyderabad,Standard,UPI,1
CUST100890,18.0,26496.78,1.0,54.24,5.0,6.44,15.13,12.0,Bengaluru,Standard,UPI,0
CUST101404,18.0,27434.21,1.0,109.54,0.0,5.94,19.96,36.0,Pune,Premium,Wallet,0
CUST100615,29.0,40435.82,15.0,77.66,1.0,10.0,18.5,12.0,Jaipur,Basic,Wallet,0
CUST100426,56.0,32196.51,11.0,75.38,1.0,6.92,19.81,24.0,Mumbai,Basic,Wallet,0
CUST100480,43.0,63967.76,7.0,135.82,1.0,7.45,20.1,24.0,Delhi,Standard,Card,0
CUST101274,45.0,73054.1,2.0,36.76,2.0,8.02,16.54,12.0,Pune,Basic,UPI,0
CUST100859,36.0,42927.9,4.0,132.72,5.0,7.6,19.0,12.0,Jaipur,Basic,NetBanking,0
CUST100968,48.0,94365.88,4.0,76.77,4.0,8.61,13.08,24.0,Delhi,Premium,NetBanking,0
CUST101247,46.0,60387.09,11.0,27.86,2.0,7.94,12.72,6.0,Jaipur,Premium,UPI,0
CUST101226,45.0,34814.05,13.0,43.49,1.0,5.69,26.01,24.0,Hyderabad,Standard,UPI,1
CUST101041,31.0,97932.42,7.0,51.71,3.0,7.62,10.86,12.0,Delhi,Standard,UPI,1
CUST100629,22.0,33926.63,9.0,64.99,2.0,8.89,16.3,6.0,Mumbai,Premium,NetBanking,0
CUST101406,43.0,66360.48,1.0,189.29,4.0,7.37,25.39,12.0,Delhi,Standard,UPI,0
CUST101232,37.0,47533.37,14.0,168.49,2.0,8.42,21.54,1.0,Bengaluru,Premium,Wallet,0
CUST100100,18.0,81073.13,10.0,129.32,1.0,7.01,15.22,1.0,Pune,Basic,UPI,0
CUST101288,45.0,47198.95,13.0,55.49,3.0,8.43,18.85,24.0,Bengaluru,Basic,Card,1
CUST100630,46.0,64796.8,0.0,44.53,2.0,3.55,18.09,1.0,Bengaluru,Basic,Card,0
CUST101337,61.0,41610.93,15.0,203.55,2.0,5.68,18.54,36.0,Bengaluru,Basic,NetBanking,0
CUST100708,53.0,63047.18,1.0,86.61,2.0,6.16,7.28,6.0,Hyderabad,Premium,Wallet,0
CUST100939,64.0,40947.75,4.0,40.05,1.0,10.0,17.39,6.0,Delhi,Basic,NetBanking,0
CUST101161,50.0,70014.99,14.0,114.19,3.0,8.12,26.77,12.0,Bengaluru,Standard,Wallet,1
CUST101034,41.0,63100.4,2.0,63.22,0.0,6.27,13.16,36.0,Delhi,Basic,UPI,0
CUST101383,59.0,55252.41,7.0,46.95,1.0,8.91,16.77,36.0,Mumbai,Basic,Card,0
